# model=kerbin_stock_spatial
altitude_m,density_kg_m3,pressure_pa,temperature_k,speed_of_sound_mps
30900.0,0.004823720111593117,343.52607280453304,248.0892577198371,315.7568756097949
31000.0,0.004729593130520348,337.73323581158945,248.7599009365239,316.18336987333396
31100.0,0.004642678105342581,332.05599354069517,249.15700738950335,316.4356379988487
31200.0,0.004557465447492083,326.49169851390405,249.56237746265657,316.6929484539786
31300.0,0.004475495370839268,321.03770325327054,249.88793217111328,316.8994444804033
31400.0,0.004393408576574637,315.6913602808483,250.31764179790474,317.17179907007034
31500.0,0.004314737699711327,310.4500221186913,250.6499668801393,317.3822700194281
31600.0,0.004236247361266015,305.31104128885363,251.06811092900506,317.64689444082074
31700.0,0.0041594162217098735,300.27177031338937,251.4852273645158,317.9106490739802
31800.0,0.004084855926848261,295.3295617143522,251.8607736852746,318.14793067764566
31900.0,0.004013021694242237,290.48176801379634,252.1608893368977,318.3374257414852
32000.0,0.0039399311768057565,285.72574173377586,252.63358734292237,318.6356619429054
32100.0,0.003869898142437842,281.0588353963444,253.0043940408991,318.86941731123943
32200.0,0.003801662145271605,276.4784015235561,253.34833083170858,319.0860808950047
32300.0,0.0037327383897243337,271.9817926374652,253.82981566032498,319.3891462051792
32400.0,0.0036675357852955807,267.5663612601255,254.14847509061917,319.5895648212548
32500.0,0.0036015711205889386,263.22945991359086,254.6084735780803,319.87865617944453
32600.0,0.0035399434206873095,258.96844111991527,254.84779340548454,320.02895621276
32700.0,0.003474169482897805,254.78065740115298,255.47347096427654,320.421567395856
32800.0,0.003414682048864328,250.6634612793575,255.72378075527732,320.5785015366046
32900.0,0.003353040931698767,246.61420527658333,256.21797214537423,320.88811425193063
33000.0,0.0032941425966117187,242.63024191488424,256.58596196407325,321.11846731696727
33100.0,0.003235547330625995,238.70892371631427,257.0107288549914,321.38415622555624
33200.0,0.0031789579938541444,234.84760320292727,257.3544598247051,321.598997016022
33300.0,0.0031237541658959175,231.04363289677713,257.66030242128505,321.7900359961069
33400.0,0.003068072511855704,227.29436531991826,258.0794388376648,322.05165782125613
33500.0,0.003013239369537953,223.59715299440433,258.501455173296,322.31486271939144
33600.0,0.0029580670059453384,219.9493732291343,259.0270247422599,322.6423519164574
33700.0,0.0029064047838999888,216.3544620525067,259.32244790384595,322.82628805594703
33800.0,0.0028542406256162507,212.8158767786203,259.7429670016873,323.0879307134315
33900.0,0.0028010384758350897,209.33303074245407,260.3448808487355,323.46206705250097
34000.0,0.0027539333383911476,205.9053372789873,260.4620991634068,323.5348770332177
34100.0,0.002704190249703107,202.5322097231991,260.90789103468705,323.81163046083435
34200.0,0.0026557958150849343,199.2130614100686,261.30846761096103,324.06011203207527
34300.0,0.0026090141443043343,195.9473056745751,261.6334201215949,324.261543371676
34400.0,0.00256265697083332,192.7343558516976,261.9986271708389,324.4877784307716
34500.0,0.0025178849532622566,189.57362527641533,262.2843564795271,324.6646694416576
34600.0,0.0024720137653423914,186.46452728370744,262.7699482398543,324.9650716230546
34700.0,0.002427556187640947,183.40647520855313,263.19384545617027,325.22708080652393
34800.0,0.0023839377406702136,180.39888238593153,263.61449671077077,325.48687517925174
34900.0,0.002341121490318101,177.44116215082178,264.03456071754704,325.7461001057784
35000.0,0.002299451733423862,174.5327278382031,264.4130795573069,325.9795106036673
35100.0,0.0022588226135110863,171.6729927830546,264.75868000422554,326.1924763847514
35200.0,0.00221889396915706,168.86137032035543,265.1087825330795,326.4080747601733
35300.0,0.0021789345886189977,166.09727378508487,265.5514438493006,326.6804685350434
35400.0,0.0021403248723885766,163.3801165122219,265.91929997472914,326.906657896874
35500.0,0.002102425727650692,160.7093118367458,266.28747204883723,327.1328849354056
35600.0,0.0020656668860902453,158.08427309363572,266.59913428475045,327.3242667361653
35700.0,0.002028687301608068,155.50441361787077,267.02871444802355,327.587874895841
35800.0,0.0019931955875191346,152.9691467444302,267.3525205687766,327.7864356037194
35900.0,0.0019568511651824358,150.47788580829305,267.8830539575315,328.1115035348904
36000.0,0.0019231231168720059,148.03004414443862,268.1471195494917,328.27318157981324
36100.0,0.0018897228586157641,145.62503508784593,268.45301280946137,328.46036974018716
36200.0,0.0018565191699222755,143.26227197349428,268.8207275017881,328.68524777602426
36300.0,0.0018238755400098814,140.94116813636273,269.1987403576993,328.91626344630805
36400.0,0.0017917675274691804,138.66113691143048,269.5897965723476,329.1550797022907
36500.0,0.0017605451336079926,136.42159163367668,269.93941647834043,329.3684443831878
36600.0,0.001728863691138425,134.22194563808046,270.4538276002936,329.6821261546854
36700.0,0.0016996409682141194,132.06161225962109,270.67600627186016,329.817515807365
36800.0,0.0016695247172255174,129.94000483327767,271.1317525146781,330.09506141831355
36900.0,0.001639638221253804,127.85653669402927,271.6472160779556,330.40869340802453
37000.0,0.0016082506550883313,125.81062117685521,272.51720461707384,330.9373606942723
37100.0,0.001580277359555206,123.80167161673452,272.91257457628774,331.1773368610875
37200.0,0.0015553027169039235,121.82910134864647,272.8767072336675,331.15557377206056
37300.0,0.001526791143529854,119.89232370757016,273.55339012845667,331.5659212930124
37400.0,0.0015022966265524533,117.99075202848474,273.60412007260584,331.59666399539566
37500.0,0.0014785259816725153,116.12379964636939,273.60412007260584,331.59666399539566
37600.0,0.0014521310286813,114.29087989620328,274.1802238386355,331.9455871617517
37700.0,0.0014264189269295347,112.49140611296555,274.72780000477303,332.2768926570715
37800.0,0.0014036387485655655,110.7247916316354,274.801993375513,332.32175720749393
37900.0,0.0013813427162902743,108.99044978719198,274.8636811896566,332.3590550673011
38000.0,0.0013597561215783081,107.28779391461438,274.8651303941775,332.3599312390969
38100.0,0.001338569774913217,105.61623734888187,274.86537369803636,332.3600783374862
38200.0,0.0013177668418034054,103.97519342497357,274.8663132196345,332.3606463595708
38300.0,0.0012973441057155892,102.3640754778686,274.86708779601787,332.36111465727356
38400.0,0.0012772927177199247,100.78229684254613,274.86799303645984,332.36166195174417
38500.0,0.0012570705309708258,99.2292708539854,274.985953575539,332.43297137373656
38600.0,0.0012382761258934814,97.70441084716549,274.8697999314468,332.3627543700124
38700.0,0.0012192961685521845,96.2071301570656,274.8706735150469,332.36328252265207
38800.0,0.0012006570841837662,94.73684211866492,274.87185437225486,332.3639964459515
38900.0,0.0011825864653212336,93.29296006694251,274.818727585796,332.3318755065623
39000.0,0.0011643961304666033,91.87489733687761,274.8694472343719,332.3625411355848
39100.0,0.0011467209317995704,90.48206726344937,274.87492901554305,332.365855308285
39200.0,0.0011293791413008551,89.11388318163695,274.875455503551,332.36617361041954
39300.0,0.0011123385902661303,87.7697584264195,274.8769063839908,332.36705077666727
39400.0,0.001095598543226502,86.4491063327762,274.877642730274,332.3674959524404
39500.0,0.0010791552768291861,85.15134023568619,274.8766852603987,332.3669170909898
39600.0,0.0010634288756642535,83.87587347012864,274.76345134139746,332.2984516894315
39700.0,0.0010471485514334878,82.62211937108273,274.86433429468525,332.35944992711
39800.0,0.0010317009968192378,81.38949127352758,274.81778793038956,332.3313073543967
39900.0,0.001016521446501042,80.17740251244244,274.7677721321877,332.3010644576837
40000.0,0.0010009816714296768,78.98526642280635,274.8845417649906,332.3716669000715
40100.0,0.0009860880095838196,77.81249633959852,274.89321851614744,332.3769125269617
40200.0,0.0009714666246189282,76.65850559779815,274.8924549560703,332.376450911505
40300.0,0.0009570381606979621,75.52270753238437,274.9024763258376,332.38250934799504
40400.0,0.0009430637262428895,74.40451547833635,274.84548568706754,332.34805408654836
40500.0,0.0009289485140046229,73.30334277063321,274.89224694400167,332.3763251562779
40600.0,0.000915191028528405,72.21860274425417,274.89553335495697,332.37831197464703
40700.0,0.0009016449621440622,71.1497087341784,274.89568439949915,332.3784032891956
